transaction_id,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,dateoftransaction,timing,currency,remarks,specificationcategory
DR001_T001,DR001,Expenditure,Insurance,30.15,,0,1750-09-26,Outfitting,Pound sterling,,Insurance
DR001_T002,DR001,Expenditure,Other expenditures,513.11,,0,1750-09-26,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR001_T003,DR001,Expenditure,Ship out,100,,0,1750-09-26,Outfitting,Pound sterling,,Ship
DR001_T004,DR001,Return,Total returns,525.43,,0,1753-02-23,Return,Pound sterling,,Unknown
DR002_T001,DR002,Expenditure,Insurance,6.53,,0,,Outfitting,Pound sterling,,Insurance
DR002_T002,DR002,Expenditure,Other expenditures,140.9,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR002_T003,DR002,Expenditure,Trade cargo costs,88.36,Credit,0,,Outfitting,Pound sterling,,Trade cargo
DR002_T004,DR002,Return,Total returns,247.31,,0,1755-08-12,Return,Pound sterling,,Unknown
DR003_T001,DR003,Expenditure,Insurance,44.33,,0,,Outfitting,Pound sterling,,Insurance
DR003_T002,DR003,Expenditure,Other expenditures,1018.92,Credit,0,,Outfitting,Pound sterling,,Various
DR003_T003,DR003,Expenditure,Other expenditures,410.59,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR003_T004,DR003,Return,Other return,799.49,,0,1756-04-03,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR003_T005,DR003,Return,Sale of sugar,745.32,,0,1756-04-03,Return,Pound sterling,,Cargo
DR004_T001,DR004,Expenditure,Other expenditures,79.1,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR004_T002,DR004,Expenditure,Outfitting,60,,0,,Outfitting,Pound sterling,,Outfitting
DR004_T003,DR004,Expenditure,Trade cargo costs,389.89,Credit,0,,Outfitting,Pound sterling,,Trade cargo
DR004_T004,DR004,Return,Bills of exchange,245.15,,0,1755-02-20,Return,Pound sterling,,Credit
DR004_T005,DR004,Return,Insurance loss reimbursement,7.5,,0,,Return,Pound sterling,,Insurance
DR004_T006,DR004,Return,Other return,119.61,,0,1755-02-20,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR004_T007,DR004,Return,Sale of sugar,183.73,,0,1755-02-20,Return,Pound sterling,,Cargo
DR005_T001,DR005,Expenditure,Total expenditure,371.93,,0,,Outfitting,Pound sterling,,Unknown
DR005_T002,DR005,Return,Total returns,377.1,,0,1753-11-10,Return,Pound sterling,,Unknown
DR006_T001,DR006,Expenditure,Other expenditures,380.41,,0,1751-06-08,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR006_T002,DR006,Expenditure,Trade cargo costs,407.42,Credit,0,1751-06-08,Outfitting,Pound sterling,,Trade cargo
DR006_T003,DR006,Return,Total returns,916.91,,0,1753-11-10,Return,Pound sterling,,Unknown
DR007_T001,DR007,Expenditure,Insurance,48.38,,0,1755,Outfitting,Pound sterling,,Insurance
DR007_T002,DR007,Expenditure,Other expenditures,132.34,,0,1755,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR007_T003,DR007,Expenditure,Outfitting,200,,0,1755,Outfitting,Pound sterling,,Outfitting
DR007_T004,DR007,Expenditure,Trade cargo costs,1486.79,Credit,0,1755,Outfitting,Pound sterling,,Trade cargo
DR007_T005,DR007,Return,Total returns,1483.12,,0,1759-11-12,Return,Pound sterling,,Unknown
DR008_T001,DR008,Expenditure,Insurance,25.95,,0,,Outfitting,Pound sterling,,Insurance
DR008_T002,DR008,Expenditure,Other expenditures,93.45,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR008_T003,DR008,Expenditure,Trade cargo costs,627.38,Credit,0,,Outfitting,Pound sterling,,Trade cargo
DR008_T004,DR008,Return,Other return,343.53,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR008_T005,DR008,Return,Returned goods,97.11,,0,,Return,Pound sterling,,Cargo
DR008_T006,DR008,Return,Sale of sugar,316.49,,0,,Return,Pound sterling,,Cargo
DR009_T001,DR009,Expenditure,Insurance,36.16,,0,1753-05-22,Outfitting,Pound sterling,,Insurance
DR009_T002,DR009,Expenditure,Other expenditures,503.46,,0,1753-05-22,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR009_T003,DR009,Expenditure,Trade cargo costs,1142.58,Credit,0,1753-09-21,Outfitting,Pound sterling,,Trade cargo
DR009_T004,DR009,Return,Other return,1909.27,,0,1755-02-20,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR009_T005,DR009,Return,Returned goods,8.08,,0,1755-02-20,Return,Pound sterling,,Cargo
DR010_T001,DR010,Expenditure,Insurance,23.33,,0,1752-02-13,Outfitting,Pound sterling,,Insurance
DR010_T002,DR010,Expenditure,Other expenditures,352.65,,0,1752-02-13,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR010_T003,DR010,Expenditure,Trade cargo costs,502.84,Credit,0,1752-02-13,Outfitting,Pound sterling,,Trade cargo
DR010_T004,DR010,Return,Other return,852.6,,0,1755-02-20,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR010_T005,DR010,Return,Returned goods,224.25,,0,1755-02-20,Return,Pound sterling,,Cargo
DR011_T001,DR011,Expenditure,Insurance,18.9,,0,,Outfitting,Pound sterling,,Insurance
DR011_T002,DR011,Expenditure,Other expenditures,1078.78,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR011_T003,DR011,Return,Total returns,1054.6,,0,1755-08-13,Return,Pound sterling,,Unknown
DR012_T001,DR012,Expenditure,Insurance,90.76,,0,1753-05-12,Outfitting,Pound sterling,,Insurance
DR012_T002,DR012,Expenditure,Other expenditures,32.78,,0,1753-05-12,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR012_T003,DR012,Expenditure,Outfitting,165.38,,0,1753-05-12,Outfitting,Pound sterling,,Outfitting
DR012_T004,DR012,Expenditure,Trade cargo costs,1311.41,Credit,0,,Outfitting,Pound sterling,,Trade cargo
DR012_T005,DR012,Return,Total returns,1707.14,,0,1759-11-12,Return,Pound sterling,,Unknown
DR013_T001,DR013,Expenditure,Insurance,37.79,,0,,Outfitting,Pound sterling,,Insurance
DR013_T002,DR013,Expenditure,Other expenditures,782.29,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR013_T003,DR013,Return,Other return,495.27,,0,1752-12-27,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR013_T004,DR013,Return,Ship In,80,,0,1752-12-27,Return,Pound sterling,,Ship
DR014_T001,DR014,Expenditure,Insurance,42.11,,0,1756-08-02,Outfitting,Pound sterling,,Insurance
DR014_T002,DR014,Expenditure,Insurance,9.98,,0,,Outfitting,Pound sterling,,Insurance
DR014_T003,DR014,Expenditure,Other expenditures,787.65,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various
DR014_T004,DR014,Expenditure,Trade cargo costs,1397.98,Credit,0,,Outfitting,Pound sterling,,Trade cargo
DR014_T005,DR014,Return,Insurance loss reimbursement,821.2,,0,1756-04-03,Return,Pound sterling,,Insurance
DR014_T006,DR014,Return,Other return,641.03,,0,1756-04-03,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various
DR014_T007,DR014,Return,Returned goods,984.96,,0,1756-04-03,Return,Pound sterling,,Cargo
DR015_T001,DR015,Expenditure,Gross outlays,5566,,0,,Outfitting,Pound sterling,,Unknown
DR015_T002,DR015,Return,Net inset,5030,,0,,Return,Pound sterling,,Unknown
DR016_T001,DR016,Expenditure,Gross outlays,913,,0,,Outfitting,Pound sterling,,Unknown
DR016_T002,DR016,Return,Net return,2620,,0,,Return,Pound sterling,,Unknown
DR017_T001,DR017,Expenditure,Outfitting,2819,,0,,Outfitting,Pound sterling,,Outfitting
DR017_T002,DR017,Expenditure,Trade cargo costs,2529,,0,,Outfitting,Pound sterling,"Estimated based on accounts of Pearl (Richardson 1996, ship 1790/21) which provided slaves for Daniel. Pearl had �9548 in trade goods, and purchased a total of 706 slaves, 187 of these were provided to Daniel.",Trade cargo
DR017_T003,DR017,Return,Net return,4666,,0,,Return,Pound sterling,,Unknown
DR018_T001,DR018,Expenditure,Gross outlays,1136,,0,,Outfitting,Pound sterling,,Unknown
DR018_T002,DR018,Return,Net return,1973,,0,,Return,Pound sterling,,Unknown
DR019_T001,DR019,Expenditure,Outfitting,2114,,0,,Outfitting,Pound sterling,,Outfitting
DR019_T002,DR019,Expenditure,Trade cargo costs,5407,,0,,Outfitting,Pound sterling,,Trade cargo
DR019_T003,DR019,Return,Bills of exchange,5865,,0,,Return,Pound sterling,,Credit
DR019_T004,DR019,Expenditure,Ship Out,2800,,0,,Outfitting,Pound sterling,,Ship
DR019_T005,DR019,Expenditure,Repairs and disbursements,541,,0,,Return,Pound sterling,,
DR020_T001,DR020,Expenditure,Trade cargo costs,7945,,0,,Outfitting,Pound sterling,,Trade cargo
DR020_T002,DR020,Expenditure,Outfitting including ship purchase,2906,,0,,Outfitting,Pound sterling,,Unknown
DR020_T003,DR020,Return,Net return,10936,,0,,Return,Pound sterling,,Unknown
DR021_T001,DR021,Expenditure,Gross outlays,8876,,0,,Outfitting,Pound sterling,,Unknown
DR021_T002,DR021,Expenditure,Insurance,803,,0,,Return,Pound sterling,,Insurance
DR021_T003,DR021,Return,Goods imported,825,,0,,Return,Pound sterling,,
DR021_T004,DR021,Return,Sugar imported,4689,,0,,Return,Pound sterling,,
DR021_T005,DR021,Return,Bills of exchange,6324,,0,,Return,Pound sterling,,Credit
DR022_T001,DR022,Expenditure,Gross outlays,6135,,0,,Outfitting,Pound sterling,,Unknown
DR022_T002,DR022,Return,Bills of exchange,5175,,0,,Return,Pound sterling,,Credit
DR022_T003,DR022,Expenditure,Ship Out,143,,0,,Outfitting,Pound sterling,"Vessel and outfit of tender ship Nimble, accompanying Sarah.",Ship
DR022_T004,DR022,Return,Ivory sales,377,,0,,Return,Pound sterling,,
DR022_T005,DR022,Return,Ship In,130,,0,,Return,Pound sterling,Sale of Nimble,Ship
DR022_T006,DR022,Return,Sale of goods,30,,0,,Return,Pound sterling,,
DR022_T007,DR022,Expenditure,Inset charges,846,,0,,Return,Pound sterling,,
DR023_T001,DR023,Expenditure,Outfitting,1722,,0,,Outfitting,Pound sterling,,Outfitting
DR023_T002,DR023,Return,Net return,12595,,0,,Return,Pound sterling,,Unknown
DR023_T003,DR023,Expenditure,Ship Out,2850,,0,,Outfitting,Pound sterling,,Ship
DR023_T004,DR023,Expenditure,Trade cargo costs,7186,,0,,Outfitting,Pound sterling,,Trade cargo
DR024_T001,DR024,Expenditure,Gross outlays,10660,,0,,Outfitting,Pound sterling,,Unknown
DR024_T002,DR024,Return,Net return,13412,,0,,Return,Pound sterling,,Unknown
DR025_T001,DR025,Expenditure,Gross outlays,9835,,0,,Outfitting,Pound sterling,,Unknown
DR025_T002,DR025,Return,Net return,6015,,0,,Return,Pound sterling,,Unknown
DR026_T001,DR026,Expenditure,Gross outlays,3692,,0,,Outfitting,Pound sterling,,Unknown
DR026_T002,DR026,Return,Net return,3917,,0,,Return,Pound sterling,Net including discounting for bills,Unknown
DR027_T001,DR027,Expenditure,Gross outlays,4679,,0,,Outfitting,Pound sterling,Includes insurance payment,Unknown
DR027_T002,DR027,Return,Insurance loss reimbursement,796,,0,,Return,Pound sterling,,Insurance
DR027_T003,DR027,Return,Bills of exchange,5040,,0,,Return,Pound sterling,,Credit
DR028_T001,DR028,Expenditure,Gross outlays,4440,,0,,Outfitting,Pound sterling,,Unknown
DR028_T002,DR028,Return,Net return,8354,,0,,Return,Pound sterling,,Unknown
DR028_T003,DR028,Return,Owing from Jamaica,1348,,0,,Return,Pound sterling,,Doubtful credit
DR029_T001,DR029,Expenditure,Gross outlays,4938,,0,,Outfitting,Pound sterling,,Unknown
DR029_T002,DR029,Return,Net return,6382,,0,,Return,Pound sterling,,Unknown
DR030_T001,DR030,Expenditure,Gross outlays,6085,,0,,Outfitting,Pound sterling,,Unknown
DR030_T002,DR030,Return,Net return,6582,,0,,Return,Pound sterling,,Unknown
DR030_T003,DR030,Return,Owing from Jamaica,1153,,0,,Return,Pound sterling,,Doubtful credit
DR031_T001,DR031,Expenditure,Gross outlays,3224,,0,,Outfitting,Pound sterling,,Unknown
DR031_T002,DR031,Return,Net return,4727,,0,,Return,Pound sterling,,Unknown
DR032_T001,DR032,Expenditure,Gross outlays,2820,,0,,Outfitting,Pound sterling,,Unknown
DR032_T002,DR032,Return,Net return,3716,,0,,Return,Pound sterling,,Unknown
DR033_T001,DR033,Expenditure,Gross outlays,3168,,0,,Outfitting,Pound sterling,,Unknown
DR033_T002,DR033,Return,Net return,2101,,0,,Return,Pound sterling,,Unknown
DR034_T001,DR034,Expenditure,Gross outlays,3601,,0,,Outfitting,Pound sterling,,Unknown
DR034_T002,DR034,Return,Net return,2681,,0,,Return,Pound sterling,,Unknown
DR035_T001,DR035,Expenditure,Gross outlays,2737,,0,,Outfitting,Pound sterling,,Unknown
