ventureid,type_of_venture,retranscriber,perspective_of_source,nationality,source,date_of_primary_source,name_of_the_ship,name_of_the_captain,name_of_investor,name_of_outfitter,number_of_voyages,internal_crossref,voyage_id_in_tstd,place_of_outfitting,place_of_purchase,place_of_disembarkation,date_of_departure_from_port_of_outfitting,date_trade_began_in_africa,date_of_departure_from_africa,date_vessel_arrived_with_enslaved,date_of_return_to_port_of_outfitting,number_of_enslaved_purchased,number_of_enslaved_sold,share_of_the_ship,complete_data_on_outlays,complete_data_on_returns,profits_reported_in_source,fatecol,various_remarks
DR001,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,nan,Frodsham,,"Torre, Nicholas",,1,,24942,nan,Bonny,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,with estimates,,,
DR002,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,nan,Cumberland,,"Torre, Nicholas",,1,,90188,nan,Gambia,nan,nan,nan,nan,nan,nan,nan,nan,0.083,yes,yes,,,
DR003,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,nan,Polly,,"Torre, Nicholas",,1,,90408,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.25,yes,yes,,,
DR004,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 103 & 109. 266,nan,Swallow,,"Torre, Nicholas",,1,,90437,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,,,
DR005,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,nan,Cumberland,John Griffin,"Torre, Nicholas",,1,,90187,nan,Gambia,nan,nan,nan,nan,nan,nan,nan,nan,0.083,yes,yes,,,
DR006,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 39. 109,nan,Hardman,,"Torre, Nicholas",,1,,90151,nan,Africa,nan,nan,nan,nan,nan,nan,nan,nan,0.17,yes,yes,,,
DR007,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 190,nan,Marquis of Rockingham,,"Torre, Nicholas",,1,,90335,nan,Windward Coast,nan,nan,nan,nan,nan,nan,nan,nan,0.375,yes,yes,,,
DR008,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,nan,Hardman,,"Torre, Nicholas",,1,,90152,nan,Africa,nan,nan,nan,nan,nan,nan,nan,nan,0.17,yes,yes,,,
DR009,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 123. 235,nan,Marquis of Rockingham,,"Torre, Nicholas",,1,,90334,nan,Windward Coast & Gold Coast,nan,nan,nan,nan,nan,nan,nan,nan,0.375,yes,yes,,,
DR010,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  66. 109,nan,Frodsham,,"Torre, Nicholas",,1,,24909,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.125,yes,yes,,,
DR011,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 126,nan,Frodsham,,"Torre, Nicholas",,1,,24918,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.17,yes,yes,,,
DR012,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 124,nan,York,,"Torre, Nicholas",,2,,90468 / 90470,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.25,yes,yes,,,
DR013,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,nan,Hardman,,"Torre, Nicholas",,1,,90150,nan,Africa,nan,nan,nan,nan,nan,nan,nan,nan,0.17,with estimates,yes,,,
DR014,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,nan,York,,"Torre, Nicholas",,1,,90469,nan,Angola,nan,nan,nan,nan,nan,nan,nan,nan,0.25,yes,yes,,,
DR015,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1788/17",nan,Ruby,,"Rogers, James",,1,,18029,nan,nan,nan,1788,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR016,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/13",nan,Flora,,"Rogers, James",,1,,18070,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR017,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/8",nan,Daniel,,"Rogers, James",,1,,18066,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR018,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1791/8",nan,Daniel,,"Rogers, James",,1,,18096,nan,nan,nan,1791,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR019,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/22",nan,Pearl,,"Rogers, James",,1,,18002,nan,nan,nan,1787,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR020,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1790/24",nan,Rodney,,"Rogers, James",,1,,83366,nan,nan,nan,1790,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR021,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/9",nan,Crescent,,"Rogers, James",,1,,18040,nan,nan,nan,1789,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR022,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1789/23 and 1789/19",nan,Sarah / Nimble,,"Rogers, James",,2,,18054/,nan,nan,nan,1789,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR023,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1784/12",nan,Sally,,"Rogers, James",,1,,17942,nan,nan,nan,1784,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR024,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/14",nan,Sally,,"Rogers, James",,1,,17929,nan,nan,nan,1783,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR025,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1783/11",nan,Little Pearl / Pearl,,"Rogers, James",,2,,17924 / 17926,nan,nan,nan,1783,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR026,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/26",nan,Ruby,,"Rogers, James",,1,,18006,nan,nan,nan,1787,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR027,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1787/17",nan,Juba,,"Rogers, James",,1,,17997,nan,nan,nan,1787,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR028,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1746/7",nan,Jason,,,,1,,17157,nan,nan,nan,1746,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR029,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1748/13",nan,Jason,,,,1,,17207,nan,nan,nan,1748,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR030,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1750/13",nan,Jason,,,,1,,17268,nan,nan,nan,1750,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR031,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Bridgett,,,,1,,16613,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR032,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Bridgett,,,,1,,16713,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR033,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Dreadnought,,,,1,,16618,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR034,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Nightingale,,,,1,,16641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR035,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Nightingale,,,,1,,16690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR036,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Nightingale,,,,1,,16770,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR037,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Nightingale,,,,1,,16834,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR038,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"James Day account books, BRO 40044 (2-3)",nan,Nightingale,,,,1,,16867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR039,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1751/19",nan,Molly,,,,1,,17296,nan,nan,nan,1751,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR040,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1752/19",nan,Molly,,,,1,,17323,nan,nan,nan,1752,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR041,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1754/7",nan,Emperor,,,,1,,17363,nan,nan,nan,1754,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR042,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1991, ship 1759/24",nan,Swift,,,,1,,17470,nan,nan,nan,1759,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR043,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1770/12",nan,Hector,,,,1,,17753,nan,nan,nan,1770,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,"No data on insurance, no residual value of ship on return"
DR044,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1771/11",nan,Hector,,,,1,,17780,nan,nan,nan,1771,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,"No data on insurance, no ship value out or in"
DR045,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1773/13",nan,Ambris / Hector,,,,2,,17825 / 17836,nan,nan,nan,1773,nan,nan,nan,nan,nan,nan,1,with estimates,with estimates,,,"No data on insurance, no ship value out or in"
DR046,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/1",nan,Africa,,,,1,,17846,nan,nan,nan,1774,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR047,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1776/1",nan,Africa,,,,1,,,nan,nan,nan,1776,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,3,Insurance rates imputed from previous research on insurance rates
DR048,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/12",nan,Jason,,,,1,,17857,nan,nan,nan,1774,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR049,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Richardson 1996, ship 1774/14",nan,King George,,,,1,,17859,nan,nan,nan,1774,nan,nan,nan,nan,nan,nan,1,with estimates,yes,,,Insurance rates imputed from previous research on insurance rates
DR050,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Priscilla,,"Goad, John",,1,,90211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0625,yes,with estimates,,,
DR051,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Priscilla,,"Goad, John",,1,,,nan,nan,nan,1751-09,nan,nan,nan,nan,nan,nan,0.0625,no,no,,4,"No insurance costs, no return estimates"
DR052,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Sea Nymph,,"Goad, John",,1,,90624,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0625,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR053,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,True Blue,,"Goad, John",,1,,90342,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0625,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR054,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Barclay,,"Goad, John",,1,,90447,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.03125,with estimates,with estimates,,,Insurance rates imputed from previous research on insurance rates. Value of ship imputed from value of cargo.
DR055,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Ferret,,"Goad, John",,1,,90565,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.042,with estimates,with estimates,,,Value of ship imputed from value of cargo.
DR056,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Ferret,,"Goad, John",,1,,90566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.042,with estimates,with estimates,,,Value of ship imputed from previous voyage
DR057,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Ferret,,"Goad, John",,1,,90567,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.042,with estimates,yes,,,Value of ship imputed from previous voyage
DR058,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Snapper,,"Goad, John",,1,,90687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,with estimates,with estimates,,,Value of ship imputed from previous voyage
DR059,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Snapper,,"Goad, John",,1,,90688,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,with estimates,yes,,,
DR060,Voyage,David Richardson & Klas Rönnbäck,Investor,English,"Hasell papers, private collection",nan,Snapper,,"Goad, John",,1,,90792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,with estimates,yes,,,Value of ship imputed from previous voyage
